ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,Đếm số cách phân hoạch 1 cây thành 2 cây con có số cạnh cho trước,Đếm số cách phân hoạch 1 cây thành 2 cây rời nhau,"Đếm số cách phân hoạch tập 1, 2, ..., n thành k tập con",Đếm số cây khung của đồ thị khuyên,Đếm số phương án giao hàng từ kho trung tâm (lớn - khó - dùng truy hồi),Đếm số phương án vận chuyển đón-trả,"Đếm số hoán vị của 1, 2, ..., n với ràng buộc về thứ tự",Cho ma trận tìm đồ thị,Tồn tại đồ thị,bậc vô hướng,DFS (copy),xac định đỉnh (copy),Đường đi 2,Đường đi 1,Số lượng đường đi đơn trong đồ thị đầy đủ (4),Insert edge 1,Thuật toán Kruskal,Tính luồng cực đại,Lát cắt cực tiểu,Ly thuyet,Câu hỏi 5,Prim E,Câu hỏi 4,Tính trọng số của cây khung,Tồn tại cây khung,Câu hỏi 3,Câu hỏi 4,Chia kẹo khó - instance 3,Đúng sai về Cây,Câu hỏi 1,Câu hỏi 4,Câu hỏi 5,Câu 1 (copy),Nhận diện topology,"Số lượng dãy tăng, giảm (3)",Permutation 2,"Số lượng lựa chọn lớp trưởng, bí thư (5)",Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Giảm cận,Giảm cận,Giảm cận,Giảm cận,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát
21501,Nhóm 2 - kíp 4,14,42,33.33,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,Chưa làm,Chưa làm,1,0,0,0,0,0,0,1,Chưa làm,1,0,1,1,0,1,0,0,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có
21502,Nhóm 2 - kíp 4,18,42,42.86,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,2,0,1,0,1,Chưa làm,Chưa làm,1,Chưa làm,1,0,0,1,0,0,1,1,Chưa làm,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21503,Nhóm 2 - kíp 4,18,42,42.86,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,Chưa làm,Chưa làm,1,0,Chưa làm,0,0,1,0,1,Chưa làm,0,Chưa làm,1,0,1,1,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0
21504,Nhóm 2 - kíp 4,24,42,57.14,0,0,0,0,1,0,Chưa làm,1,0,1,1,1,1,1,1,1,1,2,0,1,0,1,1,Chưa làm,Chưa làm,0,1,Chưa làm,0,1,1,1,Chưa làm,1,1,0,1,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21505,Nhóm 2 - kíp 4,23,42,54.76,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,Chưa làm,0,0,1,Chưa làm,0,0,1,1,1,1,Chưa làm,1,Chưa làm,1,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21506,Nhóm 2 - kíp 4,16,42,38.1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Chưa làm,0,Chưa làm,1,0,0,1,Chưa làm,0,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21507,Nhóm 2 - kíp 4,29,42,69.05,0,Chưa làm,0,Chưa làm,0,1,1,1,0,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,Không có,Không có,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21508,Nhóm 2 - kíp 4,13,42,30.95,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
21509,Nhóm 2 - kíp 4,22,42,52.38,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21510,Nhóm 2 - kíp 4,26,42,61.9,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,2,0,1,0,1,0,1,0,0,1,1,0,1,1,0,Chưa làm,1,Chưa làm,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
21511,Nhóm 2 - kíp 4,17,42,40.48,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,Chưa làm,Chưa làm,1,0,0,0,Chưa làm,0,0,0,0,0,1,1,0,1,1,0,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21512,Nhóm 2 - kíp 4,20,42,47.62,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,Chưa làm,Chưa làm,1,1,0,Chưa làm,1,Chưa làm,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có
21513,Nhóm 2 - kíp 4,11,42,26.19,0,0,0,0,0,Chưa làm,Chưa làm,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,Chưa làm,1,Chưa làm,0,Chưa làm,1,0,0,1,0,1,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21514,Nhóm 2 - kíp 4,19,42,45.24,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,Chưa làm,Chưa làm,1,Chưa làm,1,0,1,1,0,1,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21515,Nhóm 2 - kíp 4,25,42,59.52,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,Chưa làm,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,Chưa làm,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21516,Nhóm 2 - kíp 4,19,42,45.24,0,0,Chưa làm,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,Chưa làm,1,0,1,Chưa làm,0,1,1,Chưa làm,1,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
21517,Nhóm 2 - kíp 4,14,42,33.33,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,Chưa làm,Chưa làm,0,0,Chưa làm,Chưa làm,1,0,0,0,0,Chưa làm,0,1,1,0,Chưa làm,1,Chưa làm,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,0,Không có,Không có,Không có
21518,Nhóm 2 - kíp 4,19,42,45.24,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có
21519,Nhóm 2 - kíp 4,15,42,35.71,0,0,0,Chưa làm,0,1,Chưa làm,0,Chưa làm,1,0,1,1,0,1,1,1,Chưa làm,0,1,0,0,Chưa làm,0,1,0,Chưa làm,Chưa làm,0,1,0,Chưa làm,1,Chưa làm,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
21520,Nhóm 2 - kíp 4,11,42,26.19,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,Chưa làm,1,0,1,0,0,1,1,Chưa làm,1,1,0,Chưa làm,0,0,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,0,Chưa làm,0,Chưa làm,Chưa làm,Chưa làm,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21521,Nhóm 2 - kíp 4,21,42,50,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21522,Nhóm 2 - kíp 4,20,42,47.62,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,2,1,1,0,0,0,1,0,1,0,0,1,1,Chưa làm,0,1,Chưa làm,1,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21523,Nhóm 2 - kíp 4,12,42,28.57,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,Chưa làm,0,Chưa làm,0,0,1,0,0,1,1,0,0,1,0,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
21524,Nhóm 2 - kíp 4,21,42,50,Chưa làm,Chưa làm,0,1,Chưa làm,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21525,Nhóm 2 - kíp 4,20,42,47.62,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có
21526,Nhóm 2 - kíp 4,24,42,57.14,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1
21527,Nhóm 2 - kíp 4,18,42,42.86,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,2,Chưa làm,1,0,0,0,1,0,Chưa làm,0,Chưa làm,Chưa làm,1,Chưa làm,0,Chưa làm,1,Chưa làm,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21528,Nhóm 2 - kíp 4,12,42,28.57,0,0,0,0,0,0,0,1,Chưa làm,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Chưa làm,0,0,1,0,1,1,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
21529,Nhóm 2 - kíp 4,10,42,23.81,Chưa làm,Chưa làm,0,0,Chưa làm,Chưa làm,Chưa làm,1,0,1,1,1,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,1,Chưa làm,0,Chưa làm,0,1,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,0,0,1,1,Chưa làm,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21530,Nhóm 2 - kíp 4,19,42,45.24,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21531,Nhóm 2 - kíp 4,26,42,61.9,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,Chưa làm,1,1,1,0,0,1,0,1,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
21532,Nhóm 2 - kíp 4,14,42,33.33,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,Chưa làm,0,0,1,0,0,Chưa làm,Chưa làm,Chưa làm,0,0,Chưa làm,0,1,Chưa làm,1,1,Chưa làm,1,1,1,Chưa làm,Không có,Không có,Không có,Chưa làm,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21533,Nhóm 2 - kíp 4,17,42,40.48,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,Chưa làm,0,0,1,0,Chưa làm,1,Chưa làm,0,0,1,Chưa làm,Chưa làm,1,0,1,1,0,1,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
21534,Nhóm 2 - kíp 4,13,42,30.95,0,0,0,0,0,0,1,0,0,1,Chưa làm,1,0,1,1,0,0,Chưa làm,0,0,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,0,1,0,Chưa làm,1,1,Chưa làm,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21535,Nhóm 2 - kíp 4,12,42,28.57,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Chưa làm,Chưa làm,Chưa làm,0,1,0,0,1,1,Chưa làm,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có
21536,Nhóm 2 - kíp 4,13,42,30.95,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,Chưa làm,0,0,0,Chưa làm,0,0,Chưa làm,0,Chưa làm,0,1,0,1,0,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21537,Nhóm 2 - kíp 4,20,42,47.62,Chưa làm,Chưa làm,0,0,0,0,0,1,0,1,1,0,1,1,1,1,Chưa làm,2,0,1,0,1,Chưa làm,0,0,0,0,0,1,0,1,0,1,1,1,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có
21538,Nhóm 2 - kíp 4,12,42,28.57,Chưa làm,0,Chưa làm,0,0,Chưa làm,0,1,1,1,0,1,1,1,1,0,1,0,0,0,Chưa làm,0,Chưa làm,1,1,Chưa làm,0,Chưa làm,0,Chưa làm,0,Chưa làm,Chưa làm,1,Chưa làm,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0
21539,Nhóm 2 - kíp 4,15,42,35.71,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,Chưa làm,0,Chưa làm,0,Chưa làm,0,0,1,1,0,1,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21540,Nhóm 2 - kíp 4,11,42,26.19,0,0,0,0,0,0,0,1,0,1,0,Chưa làm,1,0,0,1,Chưa làm,0,0,0,Chưa làm,1,Chưa làm,1,0,0,0,Chưa làm,0,0,1,0,Chưa làm,1,Chưa làm,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0
21541,Nhóm 2 - kíp 4,19,42,45.24,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21542,Nhóm 2 - kíp 4,11,42,26.19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21543,Nhóm 2 - kíp 4,16,42,38.1,Chưa làm,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,Chưa làm,1,1,0,0,Chưa làm,Chưa làm,Chưa làm,1,0,0,1,1,1,1,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có
21544,Nhóm 2 - kíp 4,12,42,28.57,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,Chưa làm,Chưa làm,1,0,Chưa làm,0,1,0,Chưa làm,0,0,0,1,1,1,1,0,Chưa làm,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
21545,Nhóm 2 - kíp 4,11,42,26.19,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,0,Chưa làm,Chưa làm,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21546,Nhóm 2 - kíp 4,10,42,23.81,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,Chưa làm,Chưa làm,0,0,0,Chưa làm,Chưa làm,Chưa làm,1,0,0,Chưa làm,0,Chưa làm,1,0,Chưa làm,1,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có
21547,Nhóm 2 - kíp 4,11,42,26.19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,Chưa làm,0,0,0,Chưa làm,0,Chưa làm,0,1,1,0,1,0,Chưa làm,1,1,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
