ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,Đếm số cách phân hoạch 1 cây thành 2 cây rời nhau,"Đếm số cách phân hoạch tập 1, 2, ..., n thành k tập con",Đếm số cây khung của đồ thị khuyên,Đếm số phương án giao hàng từ kho trung tâm (lớn - khó - dùng truy hồi),Đếm số phương án vận chuyển đón-trả,"Đếm số hoán vị của 1, 2, ..., n với ràng buộc về thứ tự",Cho ma trận tìm đồ thị,Tồn tại đồ thị,bậc vô hướng,DFS,xac định đỉnh,Đường đi 1,Đường đi 1,Số lượng đường đi đơn trong đồ thị đầy đủ (2),Insert edge,Thuật toán Kruskal,Tính luồng cực đại,Lát cắt cực tiểu,Ly thuyet,Câu hỏi 2,Prim A,Câu hỏi 2,Tính trọng số của cây khung,Tồn tại cây khung,Câu hỏi 1,Câu hỏi 1,Chia kẹo khó - instance 1,Đúng sai về Cây,Câu hỏi 1,Câu hỏi 2,Câu hỏi 1,Câu 1,Nhận diện topology,"Số lượng dãy tăng, giảm (4)",Permutation 2,"Số lượng lựa chọn lớp trưởng, bí thư (2)",Đếm số cách phân hoạch 1 cây thành 2 cây con có số cạnh cho trước,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Giảm cận,Giảm cận,Giảm cận,Giảm cận,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát
21610,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,Chưa làm,Chưa làm,0,1,Chưa làm,1,0,0,0,0,Chưa làm,Chưa làm,1,0,1,0,0,0,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,0,Không có,Không có,Không có
21611,Nhóm 1 - kíp 3,28,41,68.29,Chưa làm,Chưa làm,1,Chưa làm,1,0,0,0,1,0,0,1,1,1,1,1,2,0,1,1,1,1,1,0,Chưa làm,1,0,1,1,1,1,1,1,1,1,1,Chưa làm,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21612,Nhóm 1 - kíp 3,17,41,41.46,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2,Chưa làm,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
21614,Nhóm 1 - kíp 3,26,41,63.41,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21615,Nhóm 1 - kíp 3,17,41,41.46,0,1,0,0,0,0,1,1,1,0,Chưa làm,0,1,1,1,0,Chưa làm,0,Chưa làm,1,0,Chưa làm,Chưa làm,0,Chưa làm,1,0,1,1,1,0,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21616,Nhóm 1 - kíp 3,21,41,51.22,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,Chưa làm,0,1,0,0,1,Chưa làm,1,1,1,1,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0
21618,Nhóm 1 - kíp 3,24,41,58.54,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có
21619,Nhóm 1 - kíp 3,17,41,41.46,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,Chưa làm,Chưa làm,1,0,Chưa làm,0,0,1,0,1,1,Chưa làm,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có
21620,Nhóm 1 - kíp 3,10,41,24.39,0,0,0,0,0,0,1,0,1,Chưa làm,1,0,0,0,1,0,Chưa làm,Chưa làm,Chưa làm,0,0,Chưa làm,0,1,Chưa làm,0,Chưa làm,0,0,1,0,0,0,1,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21621,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,Chưa làm,0,0,0,0,Chưa làm,0,0,1,0,1,1,1,0,1,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có
21622,Nhóm 1 - kíp 3,31,41,75.61,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,0,Chưa làm,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21624,Nhóm 1 - kíp 3,22,41,53.66,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,Chưa làm,0,Chưa làm,1,1,1,1,1,0,1,Chưa làm,1,1,0,0,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Chưa làm,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
21626,Nhóm 1 - kíp 3,27,41,65.85,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,2,0,1,0,1,0,1,0,Chưa làm,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có
21628,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,0,0,1,1,0,1,1,1,0,Chưa làm,0,0,1,0,0,1,1,Chưa làm,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1
21630,Nhóm 1 - kíp 3,24,41,58.54,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,0,1,Chưa làm,0,0,1,0,1,1,1,0,1,1,Chưa làm,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,0,Không có,Không có,Không có
21631,Nhóm 1 - kíp 3,17,41,41.46,Chưa làm,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,1,1,Chưa làm,0,0,1,0,1,Chưa làm,0,1,1,0,0,1,Chưa làm,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có
21632,Nhóm 1 - kíp 3,25,41,60.98,0,0,1,0,1,0,1,1,1,1,Chưa làm,1,1,1,1,1,2,0,1,Chưa làm,1,1,1,0,Chưa làm,0,0,1,0,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,0
21633,Nhóm 1 - kíp 3,20,41,48.78,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,2,0,0,0,1,1,1,1,0,1,0,1,1,Chưa làm,0,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0
21634,Nhóm 1 - kíp 3,10,41,24.39,0,0,0,1,0,1,0,0,1,0,Chưa làm,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21636,Nhóm 1 - kíp 3,8,41,19.51,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,Chưa làm,Chưa làm,Chưa làm,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
21637,Nhóm 1 - kíp 3,22,41,53.66,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,0,1,1,1,0,Chưa làm,0,Chưa làm,1,0,1,0,1,1,1,1,0,1,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21638,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,Chưa làm,1,0,1,0,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21639,Nhóm 1 - kíp 3,11,41,26.83,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,0,0,0,0,Chưa làm,0,Chưa làm,1,Chưa làm,0,0,1,1,0,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có
21640,Nhóm 1 - kíp 3,23,41,56.1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1
21641,Nhóm 1 - kíp 3,20,41,48.78,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,Chưa làm,1,0,1,0,0,Chưa làm,1,0,1,1,0,0,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21644,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,2,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có
21645,Nhóm 1 - kíp 3,10,41,24.39,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,Chưa làm,0,0,0,0,Chưa làm,1,0,0,0,Chưa làm,0,0,Chưa làm,0,1,0,Chưa làm,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21646,Nhóm 1 - kíp 3,24,41,58.54,0,0,0,0,1,0,1,1,1,1,Chưa làm,1,1,1,1,1,2,Chưa làm,1,0,0,0,Chưa làm,0,0,1,0,1,1,1,0,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21647,Nhóm 1 - kíp 3,20,41,48.78,0,1,0,0,1,Chưa làm,1,Chưa làm,1,0,1,1,1,1,0,1,2,0,0,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,1,0,1,1,Chưa làm,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1
21648,Nhóm 1 - kíp 3,17,41,41.46,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,Chưa làm,0,0,1,0,1,Chưa làm,1,1,1,0,0,1,0,1,1,0,Không có,Không có,1,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21651,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,Chưa làm,2,0,1,Chưa làm,1,0,1,0,Chưa làm,1,Chưa làm,1,1,1,1,0,Chưa làm,1,1,1,0,Không có,Không có,Không có,1,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
21653,Nhóm 1 - kíp 3,25,41,60.98,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21654,Nhóm 1 - kíp 3,17,41,41.46,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,0,Chưa làm,1,0,0,1,1,0,1,1,Chưa làm,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21655,Nhóm 1 - kíp 3,12,41,29.27,Chưa làm,1,0,0,0,0,1,0,1,Chưa làm,0,0,0,1,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,0,Chưa làm,1,0,1,1,0,0,0,1,1,0,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có
