ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,Đếm số cách phân hoạch 1 cây thành 2 cây rời nhau,"Đếm số cách phân hoạch tập 1, 2, ..., n thành k tập con",Đếm số cây khung của đồ thị khuyên,Đếm số phương án giao hàng từ kho trung tâm (lớn - khó - dùng truy hồi),Đếm số phương án vận chuyển đón-trả,"Đếm số hoán vị của 1, 2, ..., n với ràng buộc về thứ tự",Cho ma trận tìm đồ thị,Tồn tại đồ thị,bậc vô hướng,DFS,xac định đỉnh,Đường đi 1,Đường đi 1,Số lượng đường đi đơn trong đồ thị đầy đủ (2),Insert edge,Thuật toán Kruskal,Tính luồng cực đại,Lát cắt cực tiểu,Ly thuyet,Câu hỏi 2,Prim A,Câu hỏi 2,Tính trọng số của cây khung,Tồn tại cây khung,Câu hỏi 1,Câu hỏi 1,Chia kẹo khó - instance 1,Đúng sai về Cây,Câu hỏi 1,Câu hỏi 2,Câu hỏi 1,Câu 1,Nhận diện topology,"Số lượng dãy tăng, giảm (4)",Permutation 2,"Số lượng lựa chọn lớp trưởng, bí thư (2)",Đếm số cách phân hoạch 1 cây thành 2 cây con có số cạnh cho trước,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Giảm cận,Giảm cận,Giảm cận,Giảm cận,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát
21594,Nhóm 1 - kíp 3,31,41,75.61,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,1,Chưa làm,1,0,1,1,1,0,1,1,0,1,1,0,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
21595,Nhóm 1 - kíp 3,16,41,39.02,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,Chưa làm,1,1,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có
21596,Nhóm 1 - kíp 3,26,41,63.41,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,Chưa làm,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21597,Nhóm 1 - kíp 3,19,41,46.34,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có
21600,Nhóm 1 - kíp 3,26,41,63.41,0,1,1,1,0,0,0,Chưa làm,1,0,1,1,1,0,0,1,2,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có
21602,Nhóm 1 - kíp 3,29,41,70.73,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,Chưa làm,1,1,0,1,1,1,Chưa làm,1,0,1,1,1,0,1,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21605,Nhóm 1 - kíp 3,15,41,36.59,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,Chưa làm,0,1,1,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,1,Chưa làm,1,1,1,Chưa làm,Chưa làm,0,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có
21606,Nhóm 1 - kíp 3,16,41,39.02,0,0,Chưa làm,0,0,1,0,1,1,Chưa làm,1,Chưa làm,1,1,1,1,Chưa làm,Chưa làm,1,0,Chưa làm,Chưa làm,0,0,Chưa làm,0,Chưa làm,1,0,1,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21608,Nhóm 1 - kíp 3,17,41,41.46,Chưa làm,0,0,0,1,0,1,0,1,0,Chưa làm,1,1,1,0,0,2,0,1,0,Chưa làm,0,Chưa làm,1,0,Chưa làm,Chưa làm,0,0,0,0,1,1,1,1,1,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có
21609,Nhóm 1 - kíp 3,17,41,41.46,0,0,Chưa làm,1,0,1,1,1,1,0,0,0,1,1,0,0,0,Chưa làm,Chưa làm,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có
